index,name,party
69,Мискенбаев Мээрбек Жайлообаевич,Парламентская фракция СДПК
70,Молдобекова Гулкан Сакиновна,Парламентская фракция СДПК
71,Момбеков Рыскелди Чыныбекович,Парламентская фракция СДПК
72,Мусабекова Жылдыз Аманбековна,Парламентская фракция СДПК
73,Назаров Айтмамат Кошоевич,Парламентская фракция «Кыргызстан»
74,Никитенко Наталья Владимировна,Парламентская фракция «Ата Мекен»
75,Нишанов Нургазы Нурланович,Парламентская фракция «Республика - Ата Журт»
76,Нурбаев Абдывахап Мамадрасулович,Парламентская фракция СДПК
77,Нурматов Кубанычбек Советович,Парламентская фракция «Кыргызстан»
78,Нышанов Сайдулла Канболотович,Парламентская фракция «Ата Мекен»
79,Омурбекова Алтынай Сейтбековна,Парламентская фракция «Республика - Ата Журт»
80,Өмүркулов Иса Шейшенкулович,Парламентская фракция СДПК
81,Ормонов Улугбек Зулпукарович,Парламентская фракция «Бир Бол»
82,Орозова Карамат Бабашевна,Парламентская фракция СДПК
83,Пирматов Исхак Айтбаевич,Парламентская фракция «Бир Бол»
84,Примов Улан Бердибаевич,Парламентская фракция СДПК
85,Райымкулов Бактыбек Кемелбекович,Парламентская фракция «Республика - Ата Журт»
86,Рыспаев Кожобек Жайчыбекович,Парламентская фракция СДПК
87,Сабиров Максат Эсенович,Парламентская фракция «Республика - Ата Журт»
88,Салянова Аида Женишбековна,Парламентская фракция «Ата Мекен»
89,Самаев Урматбек Обозбекович,Парламентская фракция «Кыргызстан»
90,Саматов Жыргалбек Алимбаевич,Парламентская фракция «Республика - Ата Журт»
91,Самигуллина Альфия Эльдаровна,Парламентская фракция СДПК
92,Сатыбалдиев Кыянбек Урмаматович,Парламентская фракция СДПК
93,Строкова Евгения Григорьевна,Парламентская фракция СДПК
94,Субанбеков Бакирдин Жамалович,Парламентская фракция «Бир Бол»
95,Сулайманов Алтынбек Турдубаевич,Парламентская фракция «Бир Бол»
96,Сулейманов Бахадыр Искакович,Парламентская фракция «Ата Мекен»
97,Султанбекова Чолпон Аалыевна,Парламентская фракция «Кыргызстан»
98,Султанов Абдыкапар Маданбекович,Фракция «Онугуу-Прогресс»
99,Сурабалдиева Эльвира Жыргалбековна,Парламентская фракция СДПК
100,Сыдыков Бактыбек Усенович,Парламентская фракция «Республика - Ата Журт»
101,Текебаев Омурбек Чиркешович,Парламентская фракция «Ата Мекен»
102,Тиллаев Таабалды Гапырович,Парламентская фракция «Республика - Ата Журт»
103,Токторов Алмазбек Сатиевич,Парламентская фракция «Кыргызстан»
104,Токтошев Эмиль Токтакунович,Парламентская фракция «Ата Мекен»
105,Толонов Данияр Эрмекович,Парламентская фракция «Кыргызстан»
106,Төрөбаев Бакыт Эргешевич,Фракция «Онугуу-Прогресс»
107,Тулендыбаев Пархат Розымович,Парламентская фракция «Республика - Ата Журт»
108,Туманбаева Рада Мураталыевна,Парламентская фракция «Республика - Ата Журт»
109,Турсунбаев Азизбек Атакозуевич,Парламентская фракция «Кыргызстан»
110,Турсунбеков Чыныбай Акунович,Парламентская фракция СДПК
111,Турускулов Жыргалбек Куручбекович,Парламентская фракция «Республика - Ата Журт»
112,Узакбаев Абылкайыр Осмонбекович,Фракция «Онугуу-Прогресс»
113,Чолпонбаев Улан Сапарбекович,Парламентская фракция «Республика - Ата Журт»
114,Чудинов Игорь Витальевич,Парламентская фракция «Бир Бол»
115,Шадиев Аскарбек Алимбаевич,Парламентская фракция «Бир Бол»
116,Шайназаров Тынчтык Урайимович,Фракция «Онугуу-Прогресс»
117,Шер-Нияз Садык,Парламентская фракция «Ата Мекен»
118,Шыкмаматов Алмамбет Насырканович,Парламентская фракция «Ата Мекен»
119,Эгембердиев Максатбек Бакирович,Парламентская фракция СДПК
120,Юсуров Абдумажит Лелезович,Фракция «Онугуу-Прогресс»
