index,name,party
69,Молдобекова Гулкан Сакиновна,Парламентская фракция СДПК
70,Момбеков Рыскелди Чыныбекович,Парламентская фракция СДПК
71,Мусабекова Жылдыз Аманбековна,Парламентская фракция СДПК
72,Назаров Айтмамат Кошоевич,Парламентская фракция «Кыргызстан»
73,Никитенко Наталья Владимировна,Парламентская фракция «Ата Мекен»
74,Нишанов Нургазы Нурланович,Парламентская фракция «Республика - Ата Журт»
75,Нурбаев Абдывахап Мамадрасулович,Парламентская фракция СДПК
76,Нурматов Кубанычбек Советович,Парламентская фракция «Кыргызстан»
77,Нышанов Сайдулла Канболотович,Парламентская фракция «Ата Мекен»
78,Омурбекова Алтынай Сейтбековна,Парламентская фракция «Республика - Ата Журт»
79,Өмүркулов Иса Шейшенкулович,Парламентская фракция СДПК
80,Ормонов Улугбек Зулпукарович,Парламентская фракция «Бир Бол»
81,Орозова Карамат Бабашевна,Парламентская фракция СДПК
82,Осмонова Айнура Шермаматовна,Парламентская фракция СДПК
83,Пирматов Исхак Айтбаевич,Парламентская фракция «Бир Бол»
84,Примов Улан Бердибаевич,Парламентская фракция СДПК
85,Райымкулов Бактыбек Кемелбекович,Парламентская фракция «Республика - Ата Журт»
86,Рыспаев Кожобек Жайчыбекович,Парламентская фракция СДПК
87,Сабиров Максат Эсенович,Парламентская фракция «Республика - Ата Журт»
88,Салянова Аида Женишбековна,Парламентская фракция «Ата Мекен»
89,Самаев Урматбек Обозбекович,Парламентская фракция «Кыргызстан»
90,Самигуллина Альфия Эльдаровна,Парламентская фракция СДПК
91,Сарсейитов Исланбек Зайырбекович,Парламентская фракция «Кыргызстан»
92,Строкова Евгения Григорьевна,Парламентская фракция СДПК
93,Субанбеков Бакирдин Жамалович,Парламентская фракция «Бир Бол»
94,Сулайманов Алтынбек Турдубаевич,Парламентская фракция «Бир Бол»
95,Сулейманов Бахадыр Искакович,Парламентская фракция «Ата Мекен»
96,Султанов Абдыкапар Маданбекович,Парламентская фракция «Онугуу-Прогресс»
97,Сурабалдиева Эльвира Жыргалбековна,Парламентская фракция СДПК
98,Сыдыков Бактыбек Усенович,Парламентская фракция «Республика - Ата Журт»
99,Текебаев Омурбек Чиркешович,Парламентская фракция «Ата Мекен»
100,Тиллаев Таабалды Гапырович,Парламентская фракция «Республика - Ата Журт»
101,Токторов Алмазбек Сатиевич,Парламентская фракция «Кыргызстан»
102,Токтошев Эмиль Токтакунович,Парламентская фракция «Ата Мекен»
103,Толонов Данияр Эрмекович,Парламентская фракция «Кыргызстан»
104,Төрөбаев Бакыт Эргешевич,Парламентская фракция «Онугуу-Прогресс»
105,Торокулов Дүйшөн Гуламкадырович,Парламентская фракция «Бир Бол»
106,Тулендыбаев Пархат Розымович,Парламентская фракция «Республика - Ата Журт»
107,Туманбаева Рада Мураталыевна,Парламентская фракция «Республика - Ата Журт»
108,Турсунбаев Азизбек Атакозуевич,Парламентская фракция «Кыргызстан»
109,Турсунбеков Чыныбай Акунович,Парламентская фракция СДПК
110,Турускулов Жыргалбек Куручбекович,Парламентская фракция «Республика - Ата Журт»
111,Узакбаев Абылкайыр Осмонбекович,Парламентская фракция «Онугуу-Прогресс»
112,Чолпонбаев Улан Сапарбекович,Парламентская фракция «Республика - Ата Журт»
113,Чудинов Игорь Витальевич,Парламентская фракция «Бир Бол»
114,Шадиев Аскарбек Алимбаевич,Парламентская фракция «Бир Бол»
115,Шайназаров Тынчтык Урайимович,Парламентская фракция «Онугуу-Прогресс»
116,Шер-Нияз Садык,Парламентская фракция «Ата Мекен»
117,Шыкмаматов Алмамбет Насырканович,Парламентская фракция «Ата Мекен»
118,Эгембердиев Максатбек Бакирович,Парламентская фракция СДПК
119,Эргешов Алмазбек Манасбекович,Парламентская фракция «Кыргызстан»
120,Юсуров Абдумажит Лелезович,Парламентская фракция «Онугуу-Прогресс»
