index,name,party
69,Момбеков Рыскелди Чыныбекович,Парламентская фракция СДПК
70,Мусабекова Жылдыз Аманбековна,Парламентская фракция СДПК
71,Назаров Айтмамат Кошоевич,Парламентская фракция «Кыргызстан»
72,Никитенко Наталья Владимировна,Парламентская фракция «Ата Мекен»
73,Нурбаев Абдывахап Мамадрасулович,Парламентская фракция СДПК
74,Нурматов Кубанычбек Советович,Парламентская фракция «Кыргызстан»
75,Нышанов Сайдулла Канболотович,Парламентская фракция «Ата Мекен»
76,Омурбекова Алтынай Сейтбековна,Парламентская фракция «Республика - Ата Журт»
77,Өмүркулов Иса Шейшенкулович,Парламентская фракция СДПК
78,Ормонов Улугбек Зулпукарович,Парламентская фракция «Бир Бол»
79,Орозова Карамат Бабашевна,Парламентская фракция СДПК
80,Осмонова Айнура Шермаматовна,Парламентская фракция СДПК
81,Пирматов Исхак Айтбаевич,Парламентская фракция «Бир Бол»
82,Примов Улан Бердибаевич,Парламентская фракция СДПК
83,Райымкулов Бактыбек Кемелбекович,Парламентская фракция «Республика - Ата Журт»
84,Рысалиев Зарылбек Кылычбекович,Парламентская фракция «Республика - Ата Журт»
85,Рыспаев Кожобек Жайчыбекович,Парламентская фракция СДПК
86,Сабиров Максат Эсенович,Парламентская фракция «Республика - Ата Журт»
87,Салянова Аида Женишбековна,Парламентская фракция «Ата Мекен»
88,Самаев Урматбек Обозбекович,Парламентская фракция «Кыргызстан»
89,Самигуллина Альфия Эльдаровна,Парламентская фракция СДПК
90,Сарсейитов Исланбек Зайырбекович,Парламентская фракция «Кыргызстан»
91,Строкова Евгения Григорьевна,Парламентская фракция СДПК
92,Субанбеков Бакирдин Жамалович,Парламентская фракция «Бир Бол»
93,Сулайманов Алтынбек Турдубаевич,Парламентская фракция «Бир Бол»
94,Сулейманов Бахадыр Искакович,Парламентская фракция «Ата Мекен»
95,Султанов Абдыкапар Маданбекович,Парламентская фракция «Онугуу-Прогресс»
96,Сурабалдиева Эльвира Жыргалбековна,Парламентская фракция СДПК
97,Сыдыков Бактыбек Усенович,Парламентская фракция «Республика - Ата Журт»
98,Тиллаев Таабалды Гапырович,Парламентская фракция «Республика - Ата Журт»
99,Токторов Алмазбек Сатиевич,Парламентская фракция «Кыргызстан»
100,Токтошев Эмиль Токтакунович,Парламентская фракция «Ата Мекен»
101,Толонов Данияр Эрмекович,Парламентская фракция «Кыргызстан»
102,Төрөбаев Бакыт Эргешевич,Парламентская фракция «Онугуу-Прогресс»
103,Торокулов Дүйшөн Гуламкадырович,Парламентская фракция «Бир Бол»
104,Тулендыбаев Пархат Розымович,Парламентская фракция «Республика - Ата Журт»
105,Туманбаева Рада Мураталыевна,Парламентская фракция «Республика - Ата Журт»
106,Турсунбаев Азизбек Атакозуевич,Парламентская фракция «Кыргызстан»
107,Турсунбеков Чыныбай Акунович,Парламентская фракция СДПК
108,Турускулов Жыргалбек Куручбекович,Парламентская фракция «Республика - Ата Журт»
109,Узакбаев Абылкайыр Осмонбекович,Парламентская фракция «Онугуу-Прогресс»
110,Чудинов Игорь Витальевич,Парламентская фракция «Бир Бол»
111,Шадиев Аскарбек Алимбаевич,Парламентская фракция «Бир Бол»
112,Шайназаров Тынчтык Урайимович,Парламентская фракция «Онугуу-Прогресс»
113,Шарапов Закир Эшматович,Парламентская фракция «Республика - Ата Журт»
114,Шер-Нияз Садык,Парламентская фракция «Ата Мекен»
115,Шыкмаматов Алмамбет Насырканович,Парламентская фракция «Ата Мекен»
116,Эгембердиев Максатбек Бакирович,Парламентская фракция СДПК
117,Эргешов Алмазбек Манасбекович,Парламентская фракция «Кыргызстан»
118,Юсуров Абдумажит Лелезович,Парламентская фракция «Онугуу-Прогресс»
